score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.571,PENDENT,DALMAU HNOS Y CIA SA,"Dalmau Hermanos y Cía. Suc., SA",,Tarragona,"""{\""nom_similar\"":true,\""score\"":0.571428596973419,\""existent\"":\""DALMAU HNOS Y CIA SA\"",\""nou\"":\""Dalmau Hermanos y Cía. Suc., SA\"",\""mateixa_poblacio\"":false}"""
0.568,PENDENT,COOPERATIVA VINICOLA LA VIÑA,"Cooperativa Vinícola del Penedès, SCCL",La Font de la Figuera,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.567567586898804,\""existent\"":\""COOPERATIVA VINICOLA LA VIÑA\"",\""nou\"":\""Cooperativa Vinícola del Penedès, SCCL\"",\""mateixa_poblacio\"":false}"""
0.565,PENDENT,"Cellers Domenys i SC, SCCL – Blancafort","Cellers Domenys i SC, SCCL – Rocafort de Queralt",Blancafort,Rocafort de Queralt,"""{\""nom_similar\"":true,\""score\"":0.56521737575531,\""existent\"":\""Cellers Domenys i SC, SCCL – Blancafort\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Rocafort de Queralt\"",\""mateixa_poblacio\"":false}"""
0.563,PENDENT,Celler Familia Pedregosa Castelo,Castelo Pedregosa S.L.,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.5625,\""existent\"":\""Celler Familia Pedregosa Castelo\"",\""nou\"":\""Castelo Pedregosa S.L.\"",\""mateixa_poblacio\"":false}"""
0.563,PENDENT,"Celler Cooperatiu d'Artes, S.C.C.L.","Celler Cooperatiu de Moja, SCCL",Artés,Olèrdola,"""{\""nom_similar\"":true,\""score\"":0.5625,\""existent\"":\""Celler Cooperatiu d'Artes, S.C.C.L.\"",\""nou\"":\""Celler Cooperatiu de Moja, SCCL\"",\""mateixa_poblacio\"":false}"""
0.560,PENDENT,"Cooperativa Agrícola i CA Llorenç del Penedès, SCCL","Cooperativa Vinícola del Penedès, SCCL",Llorenç del Penedès,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.560000002384186,\""existent\"":\""Cooperativa Agrícola i CA Llorenç del Penedès, SCCL\"",\""nou\"":\""Cooperativa Vinícola del Penedès, SCCL\"",\""mateixa_poblacio\"":false}"""
0.556,PENDENT,EUDALD MASSANA NOYA,Celler Eudald Massana,,Sant Pau d'Ordal,"""{\""nom_similar\"":true,\""score\"":0.555555582046509,\""existent\"":\""EUDALD MASSANA NOYA\"",\""nou\"":\""Celler Eudald Massana\"",\""mateixa_poblacio\"":false}"""
0.556,PENDENT,FREIXENET S.A.,Freixenet Gratien,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.555555582046509,\""existent\"":\""FREIXENET S.A.\"",\""nou\"":\""Freixenet Gratien\"",\""mateixa_poblacio\"":false}"""
0.556,PENDENT,Sumarroca,BODEGAS SUMARROCA SL,Subirats,,"""{\""nom_similar\"":true,\""score\"":0.555555582046509,\""existent\"":\""Sumarroca\"",\""nou\"":\""BODEGAS SUMARROCA SL\"",\""mateixa_poblacio\"":false}"""
0.556,PENDENT,FREIXENET S.A.,Henkell Freixenet,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.555555582046509,\""existent\"":\""FREIXENET S.A.\"",\""nou\"":\""Henkell Freixenet\"",\""mateixa_poblacio\"":false}"""
